name,address,city,phone,email,website,description,source_url,country,crawl_timestamp
Codchem Plastics,,,,,https://thedirectory.co.zw/company.cfm?companyid=13225,"Manufacturers Of Flexible Packaging: Plain & Printed Plastics, Carrier Bags, Black Sheeting, Bin Liners, Freezit Tubing, Shrink Wrap, Plain & Printed Autopack.",https://thedirectory.co.zw/company.cfm?companyid=13225,Zimbabwe,2025-12-03T18:36:37.588993
Polar Plastics,,,,,,,https://thedirectory.co.zw/company.cfm?companyid=13726,Zimbabwe,2025-12-03T18:36:37.617118
Gibsand Enterprises Pvt Ltd.,,,,,,,https://thedirectory.co.zw/company.cfm?companyid=2819,Zimbabwe,2025-12-03T18:36:37.617731
CPL,,,,,,,https://thedirectory.co.zw/company.cfm?companyid=1953,Zimbabwe,2025-12-03T18:36:37.618322
NativeOps Printing and Packaging,,,,,,,https://thedirectory.co.zw/company.cfm?companyid=15745,Zimbabwe,2025-12-03T18:36:37.618930
Packrite,,,,,,,https://thedirectory.co.zw/company.cfm?companyid=968,Zimbabwe,2025-12-03T18:36:37.619625
Van Leer Zimbabwe,,,,,,,https://thedirectory.co.zw/company.cfm?companyid=1580,Zimbabwe,2025-12-03T18:36:37.620235
Dr. Arevshatian Art,,,,,https://thedirectory.co.zw/company.cfm?companyid=7975,Arundel Dental,https://thedirectory.co.zw/company.cfm?companyid=7975,Zimbabwe,2025-12-03T18:36:40.004410
Zimbabwe Academy of Dental Nursing (ZADENU) C/o Dr (Dr) Farayi Shakespeare Moyana (PhD),,,,,https://thedirectory.co.zw/company.cfm?companyid=13300,"The Zimbabwe Academy of Dental Nursing, Affiliated to the Harare Institute of Technology (University).",https://thedirectory.co.zw/company.cfm?companyid=13300,Zimbabwe,2025-12-03T18:36:42.628171
Borrowdale Dental Surgery,,,,,https://thedirectory.co.zw/company.cfm?companyid=7119,GENERAL DENTISTRY & ORTHODONTIC dentists.,https://thedirectory.co.zw/company.cfm?companyid=7119,Zimbabwe,2025-12-03T18:36:43.972202
"Dr. Markarian, Ruzanne",,,,,https://thedirectory.co.zw/company.cfm?companyid=922,Dental Surgery,https://thedirectory.co.zw/company.cfm?companyid=922,Zimbabwe,2025-12-03T18:36:45.272914
"Dr. Siam, K.",,,,,,,https://thedirectory.co.zw/company.cfm?companyid=7410,Zimbabwe,2025-12-03T18:36:45.297178
Kensington Dental Clinic,,,,,,,https://thedirectory.co.zw/company.cfm?companyid=10392,Zimbabwe,2025-12-03T18:36:45.299100
"Dr. Mashava, Deluxe.",,,,,,,https://thedirectory.co.zw/company.cfm?companyid=15344,Zimbabwe,2025-12-03T18:36:45.299711
"Dr. Bannerman, Lilian",,,,,,,https://thedirectory.co.zw/company.cfm?companyid=15349,Zimbabwe,2025-12-03T18:36:45.300313
Smilewize Dental,,,,,,,https://thedirectory.co.zw/company.cfm?companyid=17728,Zimbabwe,2025-12-03T18:36:45.300916
Planet Dental,,,,,,,https://thedirectory.co.zw/company.cfm?companyid=16826,Zimbabwe,2025-12-03T18:36:45.301524
Spartan Drilling Services,,,,,https://thedirectory.co.zw/company.cfm?companyid=15345,"Mining Exploration, Boreholes, Operations in Zimbabwe & Mozambique",https://thedirectory.co.zw/company.cfm?companyid=15345,Zimbabwe,2025-12-03T18:36:47.615172
Tandamanzi Drilling (Pvt) Ltd,,,,,https://thedirectory.co.zw/company.cfm?companyid=105,"Borehole Drilling, RC/RAB Drilling, Core Drilling, Blast Hole Drilling and Pump Sales and Installations",https://thedirectory.co.zw/company.cfm?companyid=105,Zimbabwe,2025-12-03T18:36:49.150399
Agatec Drills (Pvt) Ltd.,,,,,https://thedirectory.co.zw/company.cfm?companyid=6563,Specialists in Borehole Drilling,https://thedirectory.co.zw/company.cfm?companyid=6563,Zimbabwe,2025-12-03T18:36:50.435467
Wigatap,,,,,https://thedirectory.co.zw/company.cfm?companyid=15417,Borehole Drilling & Solar Systems,https://thedirectory.co.zw/company.cfm?companyid=15417,Zimbabwe,2025-12-03T18:36:53.764921
Solar Maintenance & Cleaning,,,,,,,https://thedirectory.co.zw/company.cfm?companyid=18238,Zimbabwe,2025-12-03T18:36:53.987418
Bluetek Generators and Water Pump,,,,,,,https://thedirectory.co.zw/company.cfm?companyid=6441,Zimbabwe,2025-12-03T18:36:53.990242
Valence Energy Solutions,,,,,,,https://thedirectory.co.zw/company.cfm?companyid=15588,Zimbabwe,2025-12-03T18:36:54.016395
Posrunna Solar,,,,,,,https://thedirectory.co.zw/company.cfm?companyid=15654,Zimbabwe,2025-12-03T18:36:54.020278
Aurora Energy,,,,,,,https://thedirectory.co.zw/company.cfm?companyid=15425,Zimbabwe,2025-12-03T18:36:54.023015
National Tyre Services Limited,,,,,https://thedirectory.co.zw/company.cfm?companyid=959,Tyres and Accessories,https://thedirectory.co.zw/company.cfm?companyid=959,Zimbabwe,2025-12-03T18:36:56.626298
MyPart Parts Shop & Fitment,,,,,https://thedirectory.co.zw/company.cfm?companyid=18383,Quality Motor Parts,https://thedirectory.co.zw/company.cfm?companyid=18383,Zimbabwe,2025-12-03T18:36:57.956686
Tyre Club Fitment Centre,,,,,https://thedirectory.co.zw/company.cfm?companyid=15169,Dunlop Express,https://thedirectory.co.zw/company.cfm?companyid=15169,Zimbabwe,2025-12-03T18:36:59.778380
Junk Japan,,,,,,,https://thedirectory.co.zw/company.cfm?companyid=15526,Zimbabwe,2025-12-03T18:36:59.809618
H.T Tyre Shop,,,,,,,https://thedirectory.co.zw/company.cfm?companyid=13505,Zimbabwe,2025-12-03T18:36:59.810844
Fedex Express,,,,,https://thedirectory.co.zw/company.cfm?companyid=4888,"Express Delivery, Courier & Shipping Services in Zimbabwe",https://thedirectory.co.zw/company.cfm?companyid=4888,Zimbabwe,2025-12-03T18:37:02.491007
DHL International (Pvt) Ltd,,,,,https://thedirectory.co.zw/company.cfm?companyid=6578,Document and parcel shipping,https://thedirectory.co.zw/company.cfm?companyid=6578,Zimbabwe,2025-12-03T18:37:03.988317
Alro Shipping (Pvt) Ltd,,,,,https://thedirectory.co.zw/company.cfm?companyid=11813,Shipping and Freight Forwarding,https://thedirectory.co.zw/company.cfm?companyid=11813,Zimbabwe,2025-12-03T18:37:05.333380
Lacho Freight,,,,,https://thedirectory.co.zw/company.cfm?companyid=1471,"WAREHOUSING, FREIGHT FORWARDING AND CUSTOMS CLEARING SERVICES",https://thedirectory.co.zw/company.cfm?companyid=1471,Zimbabwe,2025-12-03T18:37:06.516562
Sightscore Investments (Pvt) Ltd,,,,,https://thedirectory.co.zw/company.cfm?companyid=13404,Local and Cross Boarder Transportation,https://thedirectory.co.zw/company.cfm?companyid=13404,Zimbabwe,2025-12-03T18:37:08.733993
Gimatar Logistics (Pvt) Ltd,,,,,,,https://thedirectory.co.zw/company.cfm?companyid=13998,Zimbabwe,2025-12-03T18:37:08.966116
CMA CGM Zimbabwe Pvt Ltd.,,,,,,,https://thedirectory.co.zw/company.cfm?companyid=2429,Zimbabwe,2025-12-03T18:37:08.968478
Creadlyne Investments Pvt Ltd,,,,,,,https://thedirectory.co.zw/company.cfm?companyid=2847,Zimbabwe,2025-12-03T18:37:08.989991
Nicnel Plant and Equipment Pvt Ltd.,,,,,,,https://thedirectory.co.zw/company.cfm?companyid=1571,Zimbabwe,2025-12-03T18:37:08.997480
Amolas Agencies (Pvt) Ltd,,,,,,,https://thedirectory.co.zw/company.cfm?companyid=12490,Zimbabwe,2025-12-03T18:37:09.005642
Seeff Zimbabwe,,,,,https://thedirectory.co.zw/company.cfm?companyid=10080,Expertise built through generations of trust,https://thedirectory.co.zw/company.cfm?companyid=10080,Zimbabwe,2025-12-03T18:37:11.528333
House of Stone Properties,,,,,https://thedirectory.co.zw/company.cfm?companyid=17128,Estate Agents,https://thedirectory.co.zw/company.cfm?companyid=17128,Zimbabwe,2025-12-03T18:37:12.613449
Kennan Properties,,,,,https://thedirectory.co.zw/company.cfm?companyid=24,Sales and Letting,https://thedirectory.co.zw/company.cfm?companyid=24,Zimbabwe,2025-12-03T18:37:13.627627
Property Shop Pvt Ltd,,,,,https://thedirectory.co.zw/company.cfm?companyid=2478,Real Estate Agents,https://thedirectory.co.zw/company.cfm?companyid=2478,Zimbabwe,2025-12-03T18:37:14.876816
Metro Realty (Pvt) Ltd,,,,,https://thedirectory.co.zw/company.cfm?companyid=12866,Real Estate Agents,https://thedirectory.co.zw/company.cfm?companyid=12866,Zimbabwe,2025-12-03T18:37:16.397694
GreenPlan (Pvt) Ltd,,,,,,,https://thedirectory.co.zw/company.cfm?companyid=10300,Zimbabwe,2025-12-03T18:37:16.426318
Mossdorf Realty (Pvt) Ltd,,,,,,,https://thedirectory.co.zw/company.cfm?companyid=6219,Zimbabwe,2025-12-03T18:37:16.426927
Gatsby Real Estate,,,,,,,https://thedirectory.co.zw/company.cfm?companyid=8223,Zimbabwe,2025-12-03T18:37:16.427528
Genesis Real Estate Africa,,,,,,,https://thedirectory.co.zw/company.cfm?companyid=16101,Zimbabwe,2025-12-03T18:37:16.428151
PRIME REAL ESTATE,,,,,,,https://thedirectory.co.zw/company.cfm?companyid=684,Zimbabwe,2025-12-03T18:37:16.428749
Root Pro Properties,,,,,,,https://thedirectory.co.zw/company.cfm?companyid=13040,Zimbabwe,2025-12-03T18:37:16.429346
Crane 4 Hire - Crane Hire,,,,,https://thedirectory.co.zw/company.cfm?companyid=8287,"Crane 4 Hire - Crane Hire - Cranes 5 to 90 tons, Forklifts, Rigging, Telehandler, Recovery.",https://thedirectory.co.zw/company.cfm?companyid=8287,Zimbabwe,2025-12-03T18:37:19.579973
Endeavor Equipment,,,,,https://thedirectory.co.zw/company.cfm?companyid=18194,"Forklift hire, Sales and repairs.Casual and long term. 2.5 Tons to 10 Tons Forklift Crane Truck Hire and Low Bed Truck Hire",https://thedirectory.co.zw/company.cfm?companyid=18194,Zimbabwe,2025-12-03T18:37:20.799946
Pat Dunn and Company,,,,,https://thedirectory.co.zw/company.cfm?companyid=2363,Construction Company,https://thedirectory.co.zw/company.cfm?companyid=2363,Zimbabwe,2025-12-03T18:37:21.996313
William Crane Hire,,,,,https://thedirectory.co.zw/company.cfm?companyid=13384,We Hire Cranes In and Out of Harare,https://thedirectory.co.zw/company.cfm?companyid=13384,Zimbabwe,2025-12-03T18:37:23.395709
Mega Rig Projects,,,,,,,https://thedirectory.co.zw/company.cfm?companyid=3139,Zimbabwe,2025-12-03T18:37:23.502244
Truck - It (Pvt) Ltd,,,,,,,https://thedirectory.co.zw/company.cfm?companyid=8288,Zimbabwe,2025-12-03T18:37:23.508734
Honda Coventry Road,,,,,https://thedirectory.co.zw/company.cfm?companyid=9011,"Showroom & Service Centre, Authorized Franchise dealers for Honda Products",https://thedirectory.co.zw/company.cfm?companyid=9011,Zimbabwe,2025-12-03T18:37:27.778582
Superwatt Power Solutions,,,,,https://thedirectory.co.zw/company.cfm?companyid=18405,"Power On Wheels! Generators for hire for construction, events and industrial or domestic use",https://thedirectory.co.zw/company.cfm?companyid=18405,Zimbabwe,2025-12-03T18:37:30.605792
Honda Service Centre - Graniteside,,,,,https://thedirectory.co.zw/company.cfm?companyid=9012,Service Centre and Authorized Franchise dealer for Honda Products,https://thedirectory.co.zw/company.cfm?companyid=9012,Zimbabwe,2025-12-03T18:37:32.201324
SUPAFIX,,,,,,,https://thedirectory.co.zw/company.cfm?companyid=12513,Zimbabwe,2025-12-03T18:37:32.232649
Gentech,,,,,,,https://thedirectory.co.zw/company.cfm?companyid=6382,Zimbabwe,2025-12-03T18:37:32.233885
Real Grace Motor Spares,,,,,,,https://thedirectory.co.zw/company.cfm?companyid=9276,Zimbabwe,2025-12-03T18:37:32.234491
Afrigen Mechatronics (Pvt) Ltd (KIPOR),,,,,,,https://thedirectory.co.zw/company.cfm?companyid=11778,Zimbabwe,2025-12-03T18:37:32.235098
Grand Auto Premier,,,,,https://thedirectory.co.zw/company.cfm?companyid=7082,Panel Beating & Spray Painting,https://thedirectory.co.zw/company.cfm?companyid=7082,Zimbabwe,2025-12-03T18:37:36.057751
M & M Panel Beaters Pvt Ltd.,,,,,https://thedirectory.co.zw/company.cfm?companyid=3036,"Panel Beating and Spray Painting, Mechanical, Windscreens, Upholstery, Auto Electrical",https://thedirectory.co.zw/company.cfm?companyid=3036,Zimbabwe,2025-12-03T18:37:37.218692
Jock Smiths,,,,,https://thedirectory.co.zw/company.cfm?companyid=169,Spray Paints,https://thedirectory.co.zw/company.cfm?companyid=169,Zimbabwe,2025-12-03T18:37:38.509948
Fineye Panel Beaters,,,,,https://thedirectory.co.zw/company.cfm?companyid=12994,"For Flawless, Superquick and Autobody Restoration. Experience Fineye Finess",https://thedirectory.co.zw/company.cfm?companyid=12994,Zimbabwe,2025-12-03T18:37:40.485315
Vals Panel Beaters Pvt Ltd.,,,,,,,https://thedirectory.co.zw/company.cfm?companyid=1538,Zimbabwe,2025-12-03T18:37:40.511310
Benosien Motors,,,,,,,https://thedirectory.co.zw/company.cfm?companyid=10334,Zimbabwe,2025-12-03T18:37:40.511927
Msasa Panel Beaters,,,,,,,https://thedirectory.co.zw/company.cfm?companyid=14999,Zimbabwe,2025-12-03T18:37:40.512553
Swiss Motors,,,,,,,https://thedirectory.co.zw/company.cfm?companyid=1092,Zimbabwe,2025-12-03T18:37:40.513169
Merchant Auto Services,,,,,,,https://thedirectory.co.zw/company.cfm?companyid=15362,Zimbabwe,2025-12-03T18:37:40.513769
S & S Panel Beaters,,,,,,,https://thedirectory.co.zw/company.cfm?companyid=955,Zimbabwe,2025-12-03T18:37:40.514372
Rard Fire Engineers (Pvt) Ltd,,,,,https://thedirectory.co.zw/company.cfm?companyid=8434,"Fire Fighting Equipment Supplies and Servicing, Fire Detection Systems Installation, Fire Suppression Systems Installation, Automatic Sprinkler Systems Installation",https://thedirectory.co.zw/company.cfm?companyid=8434,Zimbabwe,2025-12-03T18:37:45.690906
Rakiten Energy Solutions,,,,,,,https://thedirectory.co.zw/company.cfm?companyid=15267,Zimbabwe,2025-12-03T18:37:47.087836
Scribante Concrete,,,,,,,https://thedirectory.co.zw/company.cfm?companyid=14024,Zimbabwe,2025-12-03T18:37:47.095823
Tselentis Group (Pvt) Ltd,,,,,https://thedirectory.co.zw/company.cfm?companyid=5568,"Protective Clothing, Footwear and PPE",https://thedirectory.co.zw/company.cfm?companyid=5568,Zimbabwe,2025-12-03T18:37:49.077720
Auto Torque Pvt Ltd.,,,,,https://thedirectory.co.zw/company.cfm?companyid=2067,"Auto Electrical Accessories For Mining, Passenger Vehicles, Transport & Earth Moving Equipment",https://thedirectory.co.zw/company.cfm?companyid=2067,Zimbabwe,2025-12-03T18:37:50.228467
Metalflex Pvt Ltd.,,,,,https://thedirectory.co.zw/company.cfm?companyid=3641,Superior Urethane Products for both Mining and Agricultural Sectors. Plant & Equipment. Suspension Components for all Heavy & Light Vehicles.,https://thedirectory.co.zw/company.cfm?companyid=3641,Zimbabwe,2025-12-03T18:37:51.413868
G & S Chemicals,,,,,https://thedirectory.co.zw/company.cfm?companyid=15377,Manufacturer and Chemical Distributor,https://thedirectory.co.zw/company.cfm?companyid=15377,Zimbabwe,2025-12-03T18:37:52.945202
Metal Components Manufacturers,,,,,,,https://thedirectory.co.zw/company.cfm?companyid=11418,Zimbabwe,2025-12-03T18:37:53.166382
Mandebvu Contracting,,,,,,,https://thedirectory.co.zw/company.cfm?companyid=16553,Zimbabwe,2025-12-03T18:37:53.175242
Shape It Adhesives,,,,,,,https://thedirectory.co.zw/company.cfm?companyid=9847,Zimbabwe,2025-12-03T18:37:53.180053
Birmet Investments,,,,,,,https://thedirectory.co.zw/company.cfm?companyid=10934,Zimbabwe,2025-12-03T18:37:53.185757
Sinopower,,,,,,,https://thedirectory.co.zw/company.cfm?companyid=15281,Zimbabwe,2025-12-03T18:37:53.193076
Liberal Gold (Pvt) Ltd,,,,,,,https://thedirectory.co.zw/company.cfm?companyid=12696,Zimbabwe,2025-12-03T18:37:53.198155
Gainsborough Stationers,,,,,https://thedirectory.co.zw/company.cfm?companyid=1323,Stationers and Packaging,https://thedirectory.co.zw/company.cfm?companyid=1323,Zimbabwe,2025-12-03T18:37:58.464964
Bamm Stationers,,,,,https://thedirectory.co.zw/company.cfm?companyid=347,"Office, Art and Scholastic Stationery",https://thedirectory.co.zw/company.cfm?companyid=347,Zimbabwe,2025-12-03T18:38:00.981385
Art Attack,,,,,https://thedirectory.co.zw/company.cfm?companyid=5859,Art and Stationery Suppliers,https://thedirectory.co.zw/company.cfm?companyid=5859,Zimbabwe,2025-12-03T18:38:02.340944
Matingwina Investments,,,,,https://thedirectory.co.zw/company.cfm?companyid=17633,"We do typing, editing, printing, binding, repair of books, laminating, photocopying, certification of photocopies and other documents, scanning, emailing, browsing and downloading files, etc. We also sell stationery and other related products.",https://thedirectory.co.zw/company.cfm?companyid=17633,Zimbabwe,2025-12-03T18:38:04.353672
101 Stationers / The Art Room,,,,,,,https://thedirectory.co.zw/company.cfm?companyid=14890,Zimbabwe,2025-12-03T18:38:04.385499
Flashboss (Pvt) Ltd,,,,,,,https://thedirectory.co.zw/company.cfm?companyid=14071,Zimbabwe,2025-12-03T18:38:04.386121
Techno Logic,,,,,,,https://thedirectory.co.zw/company.cfm?companyid=12345,Zimbabwe,2025-12-03T18:38:04.386745
REALTIME DISTRIBUTORS (PVT) LTD,,,,,,,https://thedirectory.co.zw/company.cfm?companyid=15554,Zimbabwe,2025-12-03T18:38:04.387355
Interknot Bringing Together Technology,,,,,,,https://thedirectory.co.zw/company.cfm?companyid=18270,Zimbabwe,2025-12-03T18:38:04.387975
Taromeg Enterprises,,,,,,,https://thedirectory.co.zw/company.cfm?companyid=17683,Zimbabwe,2025-12-03T18:38:04.388598
Zelpac I.T & Printer Cartridges,,,,,https://thedirectory.co.zw/company.cfm?companyid=2596,"Your Personalised Computer & Office Equipment Store ""Going the Extra Mile""",https://thedirectory.co.zw/company.cfm?companyid=2596,Zimbabwe,2025-12-03T18:38:09.484389
Solution Centre,,,,,https://thedirectory.co.zw/company.cfm?companyid=117,"Apple Authorised Reseller, Service Provider and Training Centre - Adobe Authorised Reseller - Aruba Networks Silver Partner - Bose Authorised Reseller, Warranty Centre and Distribution Centre",https://thedirectory.co.zw/company.cfm?companyid=117,Zimbabwe,2025-12-03T18:38:11.235044
First Pack Services Pvt Ltd,,,,,https://thedirectory.co.zw/company.cfm?companyid=18511,"Computer hardware repair, service and maintenance",https://thedirectory.co.zw/company.cfm?companyid=18511,Zimbabwe,2025-12-03T18:38:12.553437
ColourMart Solutions P/L,,,,,https://thedirectory.co.zw/company.cfm?companyid=15923,Corporate Gifts,https://thedirectory.co.zw/company.cfm?companyid=15923,Zimbabwe,2025-12-03T18:38:14.272669
TVK Designs,,,,,,,https://thedirectory.co.zw/company.cfm?companyid=13221,Zimbabwe,2025-12-03T18:38:14.326101
F.I Laptops,,,,,,,https://thedirectory.co.zw/company.cfm?companyid=6023,Zimbabwe,2025-12-03T18:38:14.326750
The Gadgetszone Zimbabwe,,,,,,,https://thedirectory.co.zw/company.cfm?companyid=16088,Zimbabwe,2025-12-03T18:38:14.327376
Fuser Technologies (Pvt) Ltd,,,,,,,https://thedirectory.co.zw/company.cfm?companyid=9019,Zimbabwe,2025-12-03T18:38:14.327995
T-Shirt Boss,,,,,,,https://thedirectory.co.zw/company.cfm?companyid=10475,Zimbabwe,2025-12-03T18:38:14.329322
FlammeRouge Marketing,,,,,,,https://thedirectory.co.zw/company.cfm?companyid=15614,Zimbabwe,2025-12-03T18:38:14.330575
Kerzer Computers (Pvt) Ltd,,,,,,,https://thedirectory.co.zw/company.cfm?companyid=8141,Zimbabwe,2025-12-03T18:38:14.331482
eSys Electronics,,,,,,,https://thedirectory.co.zw/company.cfm?companyid=17022,Zimbabwe,2025-12-03T18:38:16.137393
Tintem Technologies (Pvt) Ltd,,,,,,,https://thedirectory.co.zw/company.cfm?companyid=18414,Zimbabwe,2025-12-03T18:38:16.138672
SAI Systems,,,,,,,https://thedirectory.co.zw/company.cfm?companyid=6045,Zimbabwe,2025-12-03T18:38:16.142014
"Dr. Mutizira, P.T.",,,,,,,https://thedirectory.co.zw/company.cfm?companyid=12344,Zimbabwe,2025-12-03T18:38:20.330678
Harvey Brown Dental,,,,,,,https://thedirectory.co.zw/company.cfm?companyid=12842,Zimbabwe,2025-12-03T18:38:20.331280
"Dr. Ismail, Naseer",,,,,,,https://thedirectory.co.zw/company.cfm?companyid=8128,Zimbabwe,2025-12-03T18:38:20.331877
AK Fencing And Construction,,,,,https://thedirectory.co.zw/company.cfm?companyid=18380,Fencing experts you can trust,https://thedirectory.co.zw/company.cfm?companyid=18380,Zimbabwe,2025-12-03T18:38:24.571176
Steel Warehouse,,,,,https://thedirectory.co.zw/company.cfm?companyid=9130,"Steel Merchant & stockist of all types of steel for engineering, agriculture, mining & construction. With the addition of a wide selection of hardware materials.",https://thedirectory.co.zw/company.cfm?companyid=9130,Zimbabwe,2025-12-03T18:38:25.770425
Barriertech Services (Pvt) Ltd,,,,,https://thedirectory.co.zw/company.cfm?companyid=296,Fencing Contractors,https://thedirectory.co.zw/company.cfm?companyid=296,Zimbabwe,2025-12-03T18:38:26.810477
Confide Engineering,,,,,https://thedirectory.co.zw/company.cfm?companyid=18240,Hospital Equipment; Catering Equipment; School Furniture; Fencing;,https://thedirectory.co.zw/company.cfm?companyid=18240,Zimbabwe,2025-12-03T18:38:28.492442
Mac Brothers Zimbabwe Pvt Ltd.,,,,,,,https://thedirectory.co.zw/company.cfm?companyid=5989,Zimbabwe,2025-12-03T18:38:28.528060
