Seed URL,Duration (min),Pages Crawled,Detail Pages,Companies Found,Pages/Min,Avg Response (s),Success Rate %,Errors
https://www.zimbabweyp.com/browse-business-directory,36.7,1688,2000,59740,45.99,0.434,100.0,0
https://afrikta.com/listing-locations/zimbabwe/,0.04,1,0,0,22.53,1.878,100.0,0
https://sur.ly/i/yellowpages.co.zw/,0.35,10,0,0,28.26,1.621,100.0,0
https://thedirectory.co.zw/,7.56,273,321,2403,36.13,1.001,99.7,1
https://www.zimplaza.co.zw/listing/zimyellowpage/,195.35,1987,2000,49279,10.17,6.144,97.2,105
https://www.zimyellow.com/,121.87,3800,542,8696,31.18,1.441,100.0,1
https://thedirectory.co.zw/listings.cfm?SmartPages,7.11,340,283,2043,47.79,1.025,99.8,0
