name,address,city,phone,email,website,description,source_url,country,crawl_timestamp
RSC Steelforce,,,,,,,https://thedirectory.co.zw/company.cfm?companyid=1489,Zimbabwe,2025-12-03T18:35:53.349541
Baker Tilly,,,,,,,https://thedirectory.co.zw/company.cfm?companyid=1187,Zimbabwe,2025-12-03T18:35:53.352545
Nicolas Scale Company Pvt Ltd.,,,,,,,https://thedirectory.co.zw/company.cfm?companyid=1348,Zimbabwe,2025-12-03T18:35:53.355294
Wheatstar (Pvt) Ltd,,,,,,,https://thedirectory.co.zw/company.cfm?companyid=7496,Zimbabwe,2025-12-03T18:35:53.358164
Adidas Zimbabwe,,,,,,,https://thedirectory.co.zw/company.cfm?companyid=3769,Zimbabwe,2025-12-03T18:35:53.360896
Adidas Zimbabwe,,,,,,,https://thedirectory.co.zw/company.cfm?companyid=3769,Zimbabwe,2025-12-03T18:35:53.363351
Cut Rag Processors Pvt Ltd.,,,,,,,https://thedirectory.co.zw/company.cfm?companyid=1807,Zimbabwe,2025-12-03T18:35:53.365806
ZNSPCA,,,,,,,https://thedirectory.co.zw/company.cfm?companyid=5996,Zimbabwe,2025-12-03T18:35:53.369152
RSC Steelforce,,,,,,,https://thedirectory.co.zw/company.cfm?companyid=1489,Zimbabwe,2025-12-03T18:35:53.373229
Baker Tilly,,,,,,,https://thedirectory.co.zw/company.cfm?companyid=1187,Zimbabwe,2025-12-03T18:35:53.377972
Nicolas Scale Company Pvt Ltd.,,,,,,,https://thedirectory.co.zw/company.cfm?companyid=1348,Zimbabwe,2025-12-03T18:35:53.382438
Wheatstar (Pvt) Ltd,,,,,,,https://thedirectory.co.zw/company.cfm?companyid=7496,Zimbabwe,2025-12-03T18:35:53.387797
Adidas Zimbabwe,,,,,,,https://thedirectory.co.zw/company.cfm?companyid=3769,Zimbabwe,2025-12-03T18:35:53.392823
Adidas Zimbabwe,,,,,,,https://thedirectory.co.zw/company.cfm?companyid=3769,Zimbabwe,2025-12-03T18:35:53.398143
Cut Rag Processors Pvt Ltd.,,,,,,,https://thedirectory.co.zw/company.cfm?companyid=1807,Zimbabwe,2025-12-03T18:35:53.404346
ZNSPCA,,,,,,,https://thedirectory.co.zw/company.cfm?companyid=5996,Zimbabwe,2025-12-03T18:35:53.410325
Masca Medical Aid Society of Central Africa,,,,,,,https://thedirectory.co.zw/company.cfm?companyid=10697,Zimbabwe,2025-12-03T18:35:57.207122
SMC Drilling (Pvt) Ltd,,,,,,,https://thedirectory.co.zw/company.cfm?companyid=9207,Zimbabwe,2025-12-03T18:35:57.207802
Joel Travel And Tours,,,,,,,https://thedirectory.co.zw/company.cfm?companyid=401,Zimbabwe,2025-12-03T18:35:57.208450
Bonita Logistics TowTruck24 Zim,,,0719452855,,,,https://thedirectory.co.zw/company.cfm?companyid=17043,Zimbabwe,2025-12-03T18:35:57.209093
Velnox Branding,,,,,,,https://thedirectory.co.zw/company.cfm?companyid=18309,Zimbabwe,2025-12-03T18:35:57.209722
