name,address,city,phone,email,website,description,source_url,country,crawl_timestamp
Honda Coventry Road,,,,,,,https://thedirectory.co.zw/company.cfm?companyid=9011,Zimbabwe,2025-12-04T00:00:43.143062
Truckman Parts,,,,,,,https://thedirectory.co.zw/company.cfm?companyid=5653,Zimbabwe,2025-12-04T00:00:43.146285
Nicolas Scale Company Pvt Ltd.,,,,,,,https://thedirectory.co.zw/company.cfm?companyid=1348,Zimbabwe,2025-12-04T00:00:43.148563
Footpro (Pvt) Ltd,,,,,,,https://thedirectory.co.zw/company.cfm?companyid=18463,Zimbabwe,2025-12-04T00:00:43.151841
"Dr. Chiwanga, T.",,,,,,,https://thedirectory.co.zw/company.cfm?companyid=11090,Zimbabwe,2025-12-04T00:00:43.154177
Bronte The Garden Hotel,,,,,,,https://thedirectory.co.zw/company.cfm?companyid=534,Zimbabwe,2025-12-04T00:00:43.159582
Savo's Panel Beaters Pvt Ltd.,,,,,,,https://thedirectory.co.zw/company.cfm?companyid=3086,Zimbabwe,2025-12-04T00:00:43.162017
Honda Coventry Road,,,,,,,https://thedirectory.co.zw/company.cfm?companyid=9011,Zimbabwe,2025-12-04T00:00:43.169786
Truckman Parts,,,,,,,https://thedirectory.co.zw/company.cfm?companyid=5653,Zimbabwe,2025-12-04T00:00:43.183828
Nicolas Scale Company Pvt Ltd.,,,,,,,https://thedirectory.co.zw/company.cfm?companyid=1348,Zimbabwe,2025-12-04T00:00:43.191206
Footpro (Pvt) Ltd,,,,,,,https://thedirectory.co.zw/company.cfm?companyid=18463,Zimbabwe,2025-12-04T00:00:43.199379
"Dr. Chiwanga, T.",,,,,,,https://thedirectory.co.zw/company.cfm?companyid=11090,Zimbabwe,2025-12-04T00:00:43.210809
Bronte The Garden Hotel,,,,,,,https://thedirectory.co.zw/company.cfm?companyid=534,Zimbabwe,2025-12-04T00:00:43.216387
Savo's Panel Beaters Pvt Ltd.,,,,,,,https://thedirectory.co.zw/company.cfm?companyid=3086,Zimbabwe,2025-12-04T00:00:43.222164
Waverley Plastics Pvt Ltd.,,,,,,,https://thedirectory.co.zw/company.cfm?companyid=5832,Zimbabwe,2025-12-04T00:00:47.602602
Diagnostic Radiology & MRI Centre,,,,,,,https://thedirectory.co.zw/company.cfm?companyid=7660,Zimbabwe,2025-12-04T00:00:47.603303
Laserpower,,,,,,,https://thedirectory.co.zw/company.cfm?companyid=13725,Zimbabwe,2025-12-04T00:00:47.603984
Sealachem Pvt Ltd,,,,,,,https://thedirectory.co.zw/company.cfm?companyid=8204,Zimbabwe,2025-12-04T00:00:47.604640
Eye Studio,,,,,,,https://thedirectory.co.zw/company.cfm?companyid=9520,Zimbabwe,2025-12-04T00:00:47.605306
Tintem Technologies (Pvt) Ltd,,,,,,,https://thedirectory.co.zw/company.cfm?companyid=18414,Zimbabwe,2025-12-04T00:00:47.605979
Gunhill Pharmacy,,,,,,,https://thedirectory.co.zw/company.cfm?companyid=18426,Zimbabwe,2025-12-04T00:00:47.606631
Waverley Plastics Pvt Ltd.,,,,,,,https://thedirectory.co.zw/company.cfm?companyid=5832,Zimbabwe,2025-12-04T00:00:47.607845
Diagnostic Radiology & MRI Centre,,,,,,,https://thedirectory.co.zw/company.cfm?companyid=7660,Zimbabwe,2025-12-04T00:00:47.609079
Laserpower,,,,,,,https://thedirectory.co.zw/company.cfm?companyid=13725,Zimbabwe,2025-12-04T00:00:47.610278
Sealachem Pvt Ltd,,,,,,,https://thedirectory.co.zw/company.cfm?companyid=8204,Zimbabwe,2025-12-04T00:00:47.611331
Eye Studio,,,,,,,https://thedirectory.co.zw/company.cfm?companyid=9520,Zimbabwe,2025-12-04T00:00:47.612494
Tintem Technologies (Pvt) Ltd,,,,,,,https://thedirectory.co.zw/company.cfm?companyid=18414,Zimbabwe,2025-12-04T00:00:47.613856
Gunhill Pharmacy,,,,,,,https://thedirectory.co.zw/company.cfm?companyid=18426,Zimbabwe,2025-12-04T00:00:47.615138
Rossi Tyre,,,,,https://thedirectory.co.zw/company.cfm?companyid=10712,Tyres For Every Car,https://thedirectory.co.zw/company.cfm?companyid=10712,Zimbabwe,2025-12-04T00:00:55.235398
Motor Torque,,,,,https://thedirectory.co.zw/company.cfm?companyid=477,"Tyres, Shock Absorbers, Mag Wheels, Wheel Lock Nuts and Bolts",https://thedirectory.co.zw/company.cfm?companyid=477,Zimbabwe,2025-12-04T00:00:56.279353
TYREZIM,,,,,https://thedirectory.co.zw/company.cfm?companyid=5457,"Leaders in distribution & sales of passenger, truck, agricultural, mining and industrial tyres, tubes & rims under the Triangle, Alliance, Nexen, Zowin and Terraking brand names. Experts in tyres.",https://thedirectory.co.zw/company.cfm?companyid=5457,Zimbabwe,2025-12-04T00:00:57.222278
Amcotts,,,,,https://thedirectory.co.zw/company.cfm?companyid=3458,Tyers - Equipment - Parts,https://thedirectory.co.zw/company.cfm?companyid=3458,Zimbabwe,2025-12-04T00:00:58.323576
Dunlop Distributors - Taita Tyres / Trading,,,,,https://thedirectory.co.zw/company.cfm?companyid=3055,"Dunlop, Windforce and Triangle Tyres.",https://thedirectory.co.zw/company.cfm?companyid=3055,Zimbabwe,2025-12-04T00:00:59.200759
Spartan Drilling Services,,,,,https://thedirectory.co.zw/company.cfm?companyid=15345,"Mining Exploration, Boreholes, Operations in Zimbabwe & Mozambique",https://thedirectory.co.zw/company.cfm?companyid=15345,Zimbabwe,2025-12-04T00:01:00.821319
Tandamanzi Drilling (Pvt) Ltd,,,,,https://thedirectory.co.zw/company.cfm?companyid=105,"Borehole Drilling, RC/RAB Drilling, Core Drilling, Blast Hole Drilling and Pump Sales and Installations",https://thedirectory.co.zw/company.cfm?companyid=105,Zimbabwe,2025-12-04T00:01:01.937185
Agatec Drills (Pvt) Ltd.,,,,,https://thedirectory.co.zw/company.cfm?companyid=6563,Specialists in Borehole Drilling,https://thedirectory.co.zw/company.cfm?companyid=6563,Zimbabwe,2025-12-04T00:01:03.000688
Vortex Drilling,,,,,https://thedirectory.co.zw/company.cfm?companyid=5884,The Trusted Name In Boreholes,https://thedirectory.co.zw/company.cfm?companyid=5884,Zimbabwe,2025-12-04T00:01:04.095138
Wigatap,,,,,https://thedirectory.co.zw/company.cfm?companyid=15417,Borehole Drilling & Solar Systems,https://thedirectory.co.zw/company.cfm?companyid=15417,Zimbabwe,2025-12-04T00:01:05.252667
Spartan Drilling Services,,,,,,,https://thedirectory.co.zw/company.cfm?companyid=15345,Zimbabwe,2025-12-04T00:01:05.277136
Tandamanzi Drilling (Pvt) Ltd,,,,,,,https://thedirectory.co.zw/company.cfm?companyid=105,Zimbabwe,2025-12-04T00:01:05.277832
Agatec Drills (Pvt) Ltd.,,,,,,,https://thedirectory.co.zw/company.cfm?companyid=6563,Zimbabwe,2025-12-04T00:01:05.278495
Vortex Drilling,,,,,,,https://thedirectory.co.zw/company.cfm?companyid=5884,Zimbabwe,2025-12-04T00:01:05.279130
Solar Maintenance & Cleaning,,,,,,,https://thedirectory.co.zw/company.cfm?companyid=18238,Zimbabwe,2025-12-04T00:01:05.279773
Bluetek Generators and Water Pump,,,,,,,https://thedirectory.co.zw/company.cfm?companyid=6441,Zimbabwe,2025-12-04T00:01:05.280431
Madison Solar Engineering,,,,,,,https://thedirectory.co.zw/company.cfm?companyid=11893,Zimbabwe,2025-12-04T00:01:05.281061
Valence Energy Solutions,,,,,,,https://thedirectory.co.zw/company.cfm?companyid=15588,Zimbabwe,2025-12-04T00:01:05.281664
Posrunna Solar,,,,,,,https://thedirectory.co.zw/company.cfm?companyid=15654,Zimbabwe,2025-12-04T00:01:05.282299
Aurora Energy,,,,,,,https://thedirectory.co.zw/company.cfm?companyid=15425,Zimbabwe,2025-12-04T00:01:05.282895
Spartan Drilling Services,,,,,,,https://thedirectory.co.zw/company.cfm?companyid=15345,Zimbabwe,2025-12-04T00:01:05.283507
Tandamanzi Drilling (Pvt) Ltd,,,,,,,https://thedirectory.co.zw/company.cfm?companyid=105,Zimbabwe,2025-12-04T00:01:05.284142
Agatec Drills (Pvt) Ltd.,,,,,,,https://thedirectory.co.zw/company.cfm?companyid=6563,Zimbabwe,2025-12-04T00:01:05.284751
Vortex Drilling,,,,,,,https://thedirectory.co.zw/company.cfm?companyid=5884,Zimbabwe,2025-12-04T00:01:05.285354
Solar Maintenance & Cleaning,,,,,,,https://thedirectory.co.zw/company.cfm?companyid=18238,Zimbabwe,2025-12-04T00:01:05.285984
Bluetek Generators and Water Pump,,,,,,,https://thedirectory.co.zw/company.cfm?companyid=6441,Zimbabwe,2025-12-04T00:01:05.286608
Madison Solar Engineering,,,,,,,https://thedirectory.co.zw/company.cfm?companyid=11893,Zimbabwe,2025-12-04T00:01:05.287189
Valence Energy Solutions,,,,,,,https://thedirectory.co.zw/company.cfm?companyid=15588,Zimbabwe,2025-12-04T00:01:05.287778
Posrunna Solar,,,,,,,https://thedirectory.co.zw/company.cfm?companyid=15654,Zimbabwe,2025-12-04T00:01:05.288822
Aurora Energy,,,,,,,https://thedirectory.co.zw/company.cfm?companyid=15425,Zimbabwe,2025-12-04T00:01:05.289467
Spartan Drilling Services,,,,,,,https://thedirectory.co.zw/company.cfm?companyid=15345,Zimbabwe,2025-12-04T00:01:05.290762
Tandamanzi Drilling (Pvt) Ltd,,,,,,,https://thedirectory.co.zw/company.cfm?companyid=105,Zimbabwe,2025-12-04T00:01:05.292035
Agatec Drills (Pvt) Ltd.,,,,,,,https://thedirectory.co.zw/company.cfm?companyid=6563,Zimbabwe,2025-12-04T00:01:05.293152
Vortex Drilling,,,,,,,https://thedirectory.co.zw/company.cfm?companyid=5884,Zimbabwe,2025-12-04T00:01:05.294426
Solar Maintenance & Cleaning,,,,,,,https://thedirectory.co.zw/company.cfm?companyid=18238,Zimbabwe,2025-12-04T00:01:05.295685
Bluetek Generators and Water Pump,,,,,,,https://thedirectory.co.zw/company.cfm?companyid=6441,Zimbabwe,2025-12-04T00:01:05.296977
Madison Solar Engineering,,,,,,,https://thedirectory.co.zw/company.cfm?companyid=11893,Zimbabwe,2025-12-04T00:01:05.298158
Valence Energy Solutions,,,,,,,https://thedirectory.co.zw/company.cfm?companyid=15588,Zimbabwe,2025-12-04T00:01:05.299341
Posrunna Solar,,,,,,,https://thedirectory.co.zw/company.cfm?companyid=15654,Zimbabwe,2025-12-04T00:01:05.300538
Aurora Energy,,,,,,,https://thedirectory.co.zw/company.cfm?companyid=15425,Zimbabwe,2025-12-04T00:01:05.301653
Spartan Drilling Services,,,,,,,https://thedirectory.co.zw/company.cfm?companyid=15345,Zimbabwe,2025-12-04T00:01:05.302868
Tandamanzi Drilling (Pvt) Ltd,,,,,,,https://thedirectory.co.zw/company.cfm?companyid=105,Zimbabwe,2025-12-04T00:01:05.304988
